Title,Year,Rating,IMBd,Genre,Director,Disney+,HBO,HBO MAX,Hulu,Netflix,Prime Video,Sony Crackle
Once Upon a Time in the West,1968,13+,8.5/10,Action & Adventure,Sergio Leone,,,HBO MAX,,,Prime Video,Sony Crackle
Sunset Boulevard,1950,N/A,8.4/10,Drama,Billy Wilder,,,,,,Prime Video,Sony Crackle
Train to Busan,2016,18+,7.5/10,Action & Adventure,Yeon Sang-ho,,,,,Netflix,Prime Video,Sony Crackle
The Man from Nowhere,2010,18+,7.8/10,Action & Adventure,Lee Jeong-beom,,,,,,Prime Video,Sony Crackle
What's Eating Gilbert Grape,1993,13+,7.8/10,Drama,Lasse Hallström,,,,,,Prime Video,Sony Crackle
The Machinist,2004,18+,7.7/10,Drama,Brad Anderson,,,,,,Prime Video,Sony Crackle
The Conversation,1974,7+,7.8/10,Drama,Francis Ford Coppola,,,,,,Prime Video,Sony Crackle
10 Cloverfield Lane,2016,13+,7.2/10,Drama,Dan Trachtenberg,,,,,,,Sony Crackle
The Wailing,2016,18+,7.4/10,Mystery,Na Hong-jin,,,,,,Prime Video,Sony Crackle
The Illusionist,2006,13+,7.6/10,Drama,Neil Burger,,,,,,,Sony Crackle
[REC],2007,18+,7.4/10,Horror,Jaume Balagueró,,,,,,,Sony Crackle
Headhunters,2011,18+,7.5/10,Crime,Morten Tyldum,,,,,,,Sony Crackle
Coherence,2013,7+,7.2/10,Science-Fiction,James Ward Byrkit,,,,Hulu,,Prime Video,Sony Crackle
I Saw the Devil,2010,18+,7.8/10,Crime,Kim Jee-woon,,,,,,,Sony Crackle
Nebraska,2013,18+,7.7/10,Action & Adventure,Alexander Payne,,,,,,,Sony Crackle
Monster,2003,18+,7.3/10,Biography,Patty Jenkins,,,,,,,Sony Crackle
Dead Man Walking,1995,18+,7.5/10,Crime,Tim Robbins,,,,,,Prime Video,Sony Crackle
Sabrina,1954,all,7.7/10,Comedy,Billy Wilder,,,,,,,Sony Crackle
The Adventures of Tintin,2011,7+,7.3/10,Animation,Steven Spielberg,,,,,,Prime Video,Sony Crackle
Invasion of the Body Snatchers,1956,N/A,7.7/10,Horror,Don Siegel,,,,,,,Sony Crackle
We Need to Talk About Kevin,2011,18+,7.5/10,Drama,Lynne Ramsay,,,,Hulu,,Prime Video,Sony Crackle
The Hours,2002,13+,7.5/10,Drama,Stephen Daldry,,,,,,,Sony Crackle
Dracula,1992,18+,7.4/10,Horror,Francis Ford Coppola,,,,,,,Sony Crackle
The Big Heat,1953,N/A,8.0/10,Crime,Fritz Lang,,,,,,,Sony Crackle
Silence,2016,18+,7.2/10,Drama,Martin Scorsese,,,,,,,Sony Crackle
The Guard,2011,18+,7.3/10,Comedy,John Michael McDonagh,,,,,,,Sony Crackle
The Italian Job,1969,all,7.3/10,Action & Adventure,Peter Collinson,,,,,,Prime Video,Sony Crackle
Melancholia,2011,18+,7.2/10,Drama,Lars von Trier,,,,Hulu,,,Sony Crackle
The Proposition,2005,18+,7.4/10,Crime,John Hillcoat,,,,,,Prime Video,Sony Crackle
You Can Count on Me,2000,18+,7.5/10,Drama,Kenneth Lonergan,,,,,,Prime Video,Sony Crackle
"Girl, Interrupted",1999,18+,7.3/10,Drama,James Mangold,,,,,,,Sony Crackle
Anomalisa,2015,18+,7.3/10,Animation,Charlie Kaufman,,,,,,,Sony Crackle
An Inconvenient Truth,2006,7+,7.4/10,Documentary,Davis Guggenheim,,,,,,,Sony Crackle
Triangle,2009,18+,6.9/10,Mystery,Christopher Smith,,,,,,Prime Video,Sony Crackle
A Royal Affair,2012,18+,7.5/10,Biography,Nikolaj Arcel,,,,,,,Sony Crackle
Patriot Games,1992,18+,6.9/10,Action & Adventure,Phillip Noyce,,,,,,,Sony Crackle
Hard Eight,1996,18+,7.2/10,Crime,Paul Thomas Anderson,,,,,,Prime Video,Sony Crackle
Marathon Man,1976,18+,7.5/10,Crime,John Schlesinger,,,,,,,Sony Crackle
Sound City,2013,N/A,7.8/10,Documentary,Dave Grohl,,,,,,,Sony Crackle
Troll Hunter,2010,13+,7.0/10,Comedy,André Øvredal,,,,,,,Sony Crackle
Ginger Snaps,2000,18+,6.8/10,Drama,John Fawcett,,,,,,,Sony Crackle
El Mariachi,1992,18+,6.9/10,Action & Adventure,Robert Rodriguez,,,,,,,Sony Crackle
Wonder Boys,2000,18+,7.3/10,Comedy,Curtis Hanson,,,,,,,Sony Crackle
Bernie,2012,13+,6.8/10,Comedy,Richard Linklater,,,,,,,Sony Crackle
The Messenger,2009,18+,7.1/10,Drama,Oren Moverman,,,,Hulu,,Prime Video,Sony Crackle
Chaplin,1992,13+,7.6/10,Biography,Richard Attenborough,,,,,,,Sony Crackle
Detachment,2011,N/A,7.7/10,Drama,Tony Kaye,,,,,,,Sony Crackle
Turbo Kid,2015,N/A,6.7/10,Action & Adventure,Anouk Whissell,,,,,,Prime Video,Sony Crackle
The Doors,1991,18+,7.2/10,Biography,Oliver Stone,,,,,,Prime Video,Sony Crackle
Better Watch Out,2016,18+,6.5/10,Comedy,Chris Peckover,,,,,,Prime Video,Sony Crackle
